mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,label
-306.35767,100.58802,22.762596,10.812809,4.4237704,5.6489005,11.493241,0.25747505,2.2405665,5.489184,-17.377548,-11.61783,-3.8355267,-8.821774,-1.444504,4.66501,-2.9748,-7.277238,1.9698292,-9.324551,buka
-276.49512,105.91864,31.158445,18.032808,8.442829,10.075072,8.170895,-5.9085555,-3.1485527,2.4208252,-14.44332,-6.344223,-2.108422,-8.405421,2.304015,0.7581906,-4.556585,-7.0129232,-3.6885452,-8.759507,buka
-280.6649,90.77886,23.139153,19.188356,12.853876,10.61618,8.657458,3.5669315,3.263587,2.6751478,-15.0925455,-4.1402965,-3.8735266,-5.1056876,1.9125326,0.851182,-2.6801836,-4.3978553,-3.8678722,-6.4049954,buka
-208.57275,90.27926,21.557137,12.722618,8.369876,8.167617,9.113833,1.7563292,5.376673,3.571614,-18.597225,-3.64448,-4.8693113,-4.8477635,0.5265291,1.1581911,-6.2712812,-6.5941677,-0.40447295,-6.880535,buka
-219.85619,96.863106,27.102007,13.943743,8.462818,10.97838,16.09481,3.814714,0.5941563,4.3799887,-14.40482,-8.72885,-6.6800203,-1.2815312,-2.9704406,2.4672055,-0.7601932,-4.895227,-2.2669177,-2.1522496,buka
-270.71286,93.936516,28.005377,14.010068,13.83851,13.903211,14.729804,-0.6781268,0.3912528,6.6259017,-9.773416,-3.6742065,-7.2678595,-2.0527413,-2.5359588,-0.11156727,-2.5178645,-2.1986332,-6.4274883,-2.6267068,buka
-202.31502,100.06044,30.98032,16.886278,11.841215,13.949678,17.418507,1.3315375,4.549335,3.0204487,-9.889313,-4.4822736,-9.557188,-2.3930533,-1.4103285,-3.4178205,-1.972025,-1.7369585,-5.6297097,-3.8035202,buka
-252.3795,97.28422,30.778048,14.504982,10.507651,12.996932,16.574001,0.541843,1.5388068,6.086408,-10.33413,-5.5816884,-6.3411255,-1.8970925,-2.5986357,-1.7369859,-3.4432907,-3.6691215,-7.055602,-2.5970721,buka
-251.62468,101.559784,24.6992,13.004522,7.254854,9.419772,13.42811,-0.70037615,2.0721931,4.777602,-9.976739,-5.1506424,-7.6121235,-2.002569,-2.026832,-2.2524805,-2.1836126,-2.3149238,-4.488481,-3.280201,buka
-228.94084,95.1641,27.918499,16.303251,13.045079,14.003162,17.627918,1.4023142,1.350756,5.351278,-9.036903,-2.0799704,-4.593008,-0.29472345,0.9466827,0.16463646,-0.7989814,-0.8279333,-4.11032,-4.316703,buka
-232.277,91.26553,27.591148,16.315674,19.794369,16.795473,12.13651,4.3634953,-1.3242531,2.6595883,-3.690252,-2.3316438,-3.5826933,-0.7564384,-0.18553153,2.7225955,0.049556088,-2.6509478,-4.216172,-1.3766878,buka
-259.36575,91.05993,33.062374,12.903649,16.195927,9.90292,14.393175,1.8927176,-0.2025843,6.2012405,-5.1755314,-8.03648,-5.0983424,-2.7537177,-3.5642056,-0.8895953,-2.843163,-3.5725863,-3.442504,-1.3952214,buka
-164.1774,98.55241,13.022294,30.483732,12.303566,8.486493,6.760874,5.9566913,-3.6055312,5.6343513,-3.7715409,-1.4533768,0.33355236,-0.9730123,3.694945,4.7249794,-1.3902895,2.4179497,-3.0538018,2.3262649,buka
-283.03702,93.277275,17.031649,8.846121,11.364265,7.9300857,13.549386,2.052924,-3.7617798,6.6035695,-5.258367,-8.14772,-10.619184,-6.155068,2.5726588,-2.5938227,-4.599526,1.0453712,-5.2550097,-6.375816,buka
-198.71687,90.40637,26.901615,12.370517,11.683475,13.188826,18.22092,-2.5203085,1.4805471,4.487158,-8.545171,-3.1687553,-6.6487675,-2.673258,4.3879848,-3.0793436,-3.921862,-1.2664472,-4.966529,-3.999485,buka
-189.26123,93.66084,29.551508,12.807651,11.852872,2.844591,19.97957,-2.2983408,-5.114066,4.69724,-6.714517,-3.2734473,-8.231547,-5.8312654,2.539076,-2.8783765,-5.955597,-0.31491747,-6.320481,-7.4399357,buka
-188.75183,97.10245,20.714575,21.954105,10.973936,8.343374,14.179409,-5.2255526,-2.89969,3.495935,-8.760831,-1.404724,-6.4230123,-3.3992343,-0.28086185,-3.3407462,-4.8573866,-4.7613974,-6.5946655,-0.052362338,buka
-197.28339,95.44409,28.016361,16.471834,7.7880745,0.78150594,18.161242,0.5829532,-0.91828835,5.7860045,-10.53228,-1.5433089,-9.673623,-7.1621933,6.1220465,0.5488825,-5.067176,0.86080956,-7.419629,-5.898769,buka
-255.31006,94.1544,25.984058,9.9792185,8.274556,7.314698,16.32118,2.1529632,-3.6829603,2.9692185,-10.19194,4.1270847,-6.226349,-9.548088,-0.9396267,-3.2118812,-2.2877872,0.4817542,0.1957362,-6.500681,buka
-273.34534,85.31322,29.093065,12.905969,5.267854,8.605074,15.851998,3.165105,-5.989643,3.3536367,-12.193517,3.0598981,-5.7803464,-6.4382744,-1.9641078,-3.8826427,-1.6889707,-1.2119343,-0.31147146,-3.372744,buka
-235.19484,86.80864,34.53443,18.135885,13.15697,10.985534,12.227549,3.832411,-2.5124767,-0.34607977,-14.052672,-2.8086956,-4.732911,-8.213593,-0.9901271,-1.6580664,-4.942048,0.4129568,-3.1048658,-0.657408,buka
-206.6161,97.21011,23.798132,17.086378,10.504461,10.501696,15.412551,1.7560313,-5.2374234,-0.69736844,-11.526174,0.36444098,-4.32325,-8.120411,-1.2393757,-5.0048113,-3.0433998,-0.14186475,0.84573925,-1.7688806,buka
-179.84766,101.844315,24.284576,9.543778,7.507505,13.935629,17.190588,0.0014024294,-1.3100573,-3.7937832,-13.843169,-1.7722926,-7.225413,-5.8559775,-4.0102053,-4.278399,1.2794304,-2.7595406,-3.7362275,-3.2410822,buka
-227.76617,94.63752,24.480268,11.324579,10.629659,16.753536,15.266011,3.1814299,-2.973018,-0.31797627,-9.585292,-2.4540277,-6.021102,-2.1657333,-2.7890782,-3.939664,-0.5491405,-3.223548,-4.089701,-3.4797044,buka
-237.98587,83.468445,32.57833,19.02098,14.289418,11.010763,12.362096,3.6311922,-0.92812115,0.68687075,-9.201322,-0.47917175,-2.2606564,-4.2059216,-2.0349524,-1.2780662,-4.8969474,-0.55459094,-3.9775944,-1.622894,buka
